"PROM_GRAL_2024","PROM_GRAL_2023","GEN_ALU","ASISTENCIA_2023"
6.5,6.6,"1",80
5.4,5.7,"1",89
6.9,6.9,"2",91
5.2,5.2,"1",88
5.1,5.5,"2",97
5,4.9,"1",98
5.9,6.2,"2",85
4.7,5,"2",92
5.5,6.3,"2",97
5.3,4.9,"2",59
6.1,6,"1",99
6.5,6.5,"2",96
5.5,6.3,"2",95
4.6,5.1,"1",90
6.2,6,"1",99
5.2,5.6,"1",79
7,6.7,"2",92
5.7,5.7,"1",89
6.4,6.7,"1",97
5.1,5.9,"2",90
6.1,5.7,"1",87
6.4,6.1,"1",99
5.5,5.2,"1",90
6,6.4,"1",99
5.2,6.1,"1",92
5.9,5.4,"1",94
6.1,5.3,"1",91
6.8,6.8,"2",98
5.1,5.9,"2",92
5,5.1,"1",89
6.3,6.4,"1",97
5.5,6.5,"2",92
6.2,6,"2",97
6.5,6.2,"1",96
4.8,5.1,"2",89
5.6,5.8,"2",88
6.7,6.7,"1",100
6.1,6.5,"2",99
5.9,5.9,"2",96
6.3,6.3,"1",97
4.9,5.2,"1",92
5.5,5.4,"1",94
6.1,6.2,"2",94
6.2,6.6,"2",54
5.7,6.2,"2",81
4.8,4.8,"1",85
4.3,4.8,"1",78
4.9,5.2,"1",83
6,6.5,"1",99
6.5,6.3,"2",73
4.6,5.6,"2",81
6.3,6.6,"2",82
6.6,5.9,"2",97
6,5.9,"1",97
5.5,6,"1",90
4.4,5.9,"2",96
6,5.9,"1",98
6.6,6.6,"1",96
6.5,6.7,"2",94
5.5,4.9,"1",93
4.6,5.8,"1",99
5.9,5.3,"1",100
6.6,6.6,"1",74
5.9,5.7,"2",95
6.2,5.9,"2",99
5.7,5.6,"1",96
6.7,6.6,"1",99
6.3,6.2,"2",99
5.9,5.5,"2",75
6.1,6.2,"2",77
6.3,6.1,"2",73
5.1,5.4,"1",90
5.7,5.9,"2",99
6.4,5.7,"2",99
6.7,6.6,"2",92
5.4,6.1,"2",96
6.7,6.9,"2",95
6.4,6.3,"2",87
5.2,6,"1",92
6.1,5.6,"2",95
6.3,6.3,"2",80
5.3,5,"2",90
3.9,5.4,"1",87
4.8,5.6,"1",94
5.6,5.1,"1",94
6.3,6.4,"1",91
5.9,5.5,"2",85
5,6,"1",88
6.1,5.9,"1",91
6,6.1,"1",92
6.4,6,"2",93
6,5.9,"2",87
5.3,5.5,"1",88
5.3,6,"1",92
5.7,5.4,"1",96
4.9,5.5,"2",47
5.8,5.5,"2",99
5.1,5.4,"1",100
5.7,5.4,"1",99
6,6.4,"1",98
6.7,6.6,"2",95
5.3,5.3,"2",92
6.1,6.2,"1",97
6,6.3,"2",100
6.1,6.1,"1",97
6,6.3,"1",99
6.3,6.4,"2",91
5.3,6,"1",98
6.6,6.3,"2",99
4.9,5.1,"2",97
6.3,5.9,"2",90
5.5,5.7,"2",99
4.4,5.4,"1",100
6,5.6,"2",99
5.5,5.3,"1",98
6.4,6.3,"1",93
6.4,6.2,"2",86
6.3,5.8,"2",93
5.9,6.3,"2",80
6.6,6.4,"2",94
6.3,6.4,"2",99
4.8,4.7,"1",79
6.4,6.9,"2",99
6.8,6.8,"2",98
6.5,6.4,"1",99
5.2,5.9,"1",84
5.7,6,"1",92
5.1,5.4,"2",88
5.5,5.8,"1",90
6,5.9,"1",95
6.1,6.2,"1",88
5.9,6.4,"1",97
6.5,6.2,"2",98
5.9,5.7,"2",97
6.7,6.3,"2",95
6.8,6.7,"2",99
6,6.1,"1",98
6.9,6.7,"1",99
6.4,6.4,"2",99
6.3,6.1,"2",98
5.3,5.6,"1",98
5.5,5.9,"1",90
5.1,5.4,"1",95
6.3,6.5,"2",96
6.8,6.8,"1",100
5.5,6,"1",90
5.3,5.9,"2",98
6.8,6.5,"2",95
5.4,6.3,"1",98
5.9,5.7,"1",100
6.2,6,"1",99
6.4,6.5,"1",93
2.7,4.9,"1",88
6.5,6.6,"2",100
4.9,5.9,"2",95
6.6,6.7,"2",99
6.2,6.3,"2",90
6.4,6.4,"2",91
5.9,5.9,"1",91
4.7,5.5,"1",87
6.4,6.4,"1",97
4.9,5.4,"1",99
6.6,6.5,"1",94
5,5.4,"2",85
6.4,6.3,"2",88
6.3,6.3,"1",92
5.3,5.2,"2",86
6.9,6.8,"2",97
7,6.9,"2",95
6.2,6.5,"2",93
6.9,6.7,"1",95
6.8,6.5,"2",87
6.4,7,"1",91
6.3,6.6,"1",89
6,6,"2",96
4.9,4.8,"2",88
6,6,"2",82
6.4,6.5,"1",89
5.3,5.4,"2",96
6.7,6.6,"2",95
5.6,5.4,"2",96
6.6,6.4,"2",70
5,6,"2",92
2.7,4.6,"1",80
6.4,6.8,"2",88
6.6,6.7,"2",98
5.8,6,"1",67
6.1,6.1,"2",95
4.5,4.9,"1",85
4.5,5.2,"1",91
6.2,6.3,"1",98
5.9,6.3,"1",90
4.7,5.3,"1",93
5.2,5.8,"1",97
5.9,6.6,"2",100
6,6.2,"2",93
6.3,5.6,"1",90
5.7,5.1,"1",91
6.4,6.1,"1",93
5.9,6.2,"1",90
5.7,5.6,"1",86
6.2,6.4,"1",99
5.3,6.2,"2",88
5.7,5.6,"2",90
5.9,6.3,"1",89
5.9,6.1,"1",100
5.7,5.7,"2",80
6,6.3,"1",100
5.8,6.3,"1",95
5.1,5.5,"2",87
6.5,6.4,"2",95
4.7,5,"1",95
4.9,5.7,"1",100
6.7,6.7,"2",100
6.2,6.5,"1",92
5.9,6.2,"1",85
5.3,5.5,"2",76
5.7,5.4,"1",97
6.1,6,"1",94
5.3,5,"2",85
6,6.1,"2",97
5.9,5.7,"2",98
3.7,5.7,"2",45
5.5,4.5,"1",96
6,6.2,"2",91
5.4,5.7,"2",94
6.4,6.6,"1",83
5.8,6.2,"1",88
4.9,5.4,"1",72
5.4,5.9,"2",84
6.7,6.6,"2",98
5.3,5.8,"1",85
5.2,5.6,"2",80
6.2,6.7,"1",89
7,7,"2",100
6.6,6.6,"1",91
5,5.6,"2",87
6.7,6.8,"1",88
5.8,5.6,"2",97
4.5,5,"2",97
5.7,5.7,"1",92
6,6.4,"2",95
4.9,5.2,"1",99
4.9,6.1,"1",96
5.5,5.6,"1",96
5.3,5.5,"1",91
6.1,6,"2",76
6.6,5.9,"2",96
4.9,5.2,"2",94
5.6,5.6,"1",96
5.9,6.1,"2",96
6.1,6.2,"2",85
6.1,6.5,"2",85
6.8,6.8,"2",98
5.7,5.6,"2",92
6.5,6.7,"2",92
5.3,5.9,"1",100
6.6,6,"1",98
5.3,5.7,"1",92
4.8,5.4,"2",96
6.7,6.4,"2",94
6,6.1,"2",85
6.5,6.6,"2",98
6.7,6.6,"1",97
5.3,5.5,"1",94
6,5.6,"1",88
5.1,5,"1",100
4.7,5.2,"1",70
5,5.4,"2",91
5.6,6.2,"2",82
5.7,5.9,"1",68
6.7,6.4,"2",100
5.9,6.4,"2",95
6.8,6.9,"2",90
6.7,6.6,"2",87
5.8,5.8,"2",100
5.8,5.9,"2",84
5.6,5.9,"2",43
5,5.5,"1",92
5.6,5.5,"1",84
5.8,5.7,"2",89
5.5,4.8,"2",85
6.6,6.2,"2",93
6.8,6.5,"1",85
6.3,6.3,"2",98
5,5,"2",91
6,5.9,"2",89
5.6,5.8,"1",95
4.8,5.5,"2",83
4.9,5,"2",81
5.4,6.1,"2",90
5.9,6.5,"1",95
6.3,6.5,"2",97
5.7,6.2,"2",98
5,5,"1",79
3.8,5.5,"2",88
6.6,6.1,"1",100
6.8,6.6,"2",91
5.7,5.2,"2",98
5.4,6,"2",80
5.9,6.1,"1",96
5.4,5.5,"1",95
5,5.5,"1",91
6.7,6.6,"1",93
6,5.8,"1",100
6.1,6.1,"2",98
5.8,6,"2",87
4.7,5,"1",91
5.3,5.6,"1",88
6.6,6.4,"1",98
5,4.5,"1",91
6.4,6.4,"1",84
6.3,6.2,"1",97
6,6.4,"1",99
6.2,6,"2",86
4.8,4.8,"1",80
6,5.7,"2",99
5.7,6.2,"1",89
5.5,5.3,"2",96
6.1,6.2,"2",98
6.2,6.2,"2",96
6.6,5.4,"1",95
1,4.5,"1",54
6.7,6.5,"1",92
5.7,6.2,"2",77
7,6.9,"1",88
6.7,6.7,"1",97
5.7,5.1,"1",88
6.5,6.7,"1",91
6.9,6.9,"2",97
6,6.1,"2",89
6.1,6.5,"2",91
5.4,4.6,"1",91
5.9,6.2,"2",88
5.6,5.5,"2",100
5.2,5.4,"1",90
5.1,6,"1",84
6.3,6.5,"1",94
5.2,5,"1",85
6.6,6.4,"1",96
5.8,6.2,"1",91
5.3,5.9,"1",89
5.5,6.4,"1",91
6.7,6.6,"2",85
6.4,6.4,"2",90
5.5,4.7,"1",96
5.3,5.1,"1",90
6.5,6.5,"2",88
5,5.1,"2",90
6.7,6.5,"2",94
6.3,6.4,"2",96
6,6.1,"2",85
5,5.4,"2",94
5.2,5.5,"1",85
5.2,5.9,"1",85
6.2,5.8,"1",94
5.8,5.9,"1",85
6.6,6.8,"2",96
6.2,6.3,"1",96
5.8,5.8,"1",92
5.9,6.1,"1",90
5.2,5.2,"1",92
5.7,5.6,"1",88
5.5,5.5,"1",88
5.3,5.6,"2",95
4.5,5.5,"2",83
6.8,6.7,"2",92
6.8,6.4,"2",97
5.2,5.9,"1",94
6.4,6,"1",98
6.9,6.8,"2",100
5.6,5.5,"2",90
5.5,5.7,"1",82
6.4,6.2,"1",98
6.6,6.1,"1",85
5.9,5.7,"2",95
6,6.1,"2",93
6.2,6.7,"2",95
6.7,6.6,"2",100
6.3,6.5,"2",97
5.5,5.7,"2",94
6.5,6.5,"2",97
6.2,6.1,"2",100
5.5,5.8,"1",98
6,6,"2",99
6.6,6.5,"2",99
5,5.1,"1",95
6.3,6.4,"2",93
5.9,5.8,"1",90
6.3,6.3,"2",98
5.5,5.7,"1",97
5.6,5.3,"2",82
5.5,5.4,"2",94
5.2,4.9,"1",92
6.2,6.2,"2",81
5.7,5.8,"1",96
5.1,6,"1",99
6.7,5.9,"2",86
6.8,6.4,"1",99
5.8,6.7,"1",98
5.5,5.8,"1",97
6.3,6.1,"2",92
4.6,5,"1",91
6.4,6.3,"1",99
4.8,5.2,"1",93
6.3,6.1,"1",98
4.8,5.3,"1",90
5.2,5.3,"2",85
6.1,6.1,"2",85
5.4,5.6,"1",91
6.3,5.8,"2",92
6.3,6,"2",85
6.7,6.7,"2",96
5.9,5.9,"1",93
5.7,5.5,"1",75
3.5,4.7,"1",90
6.6,6.5,"2",94
5.8,6.1,"2",91
4.4,4.8,"1",94
5.7,6.5,"2",91
6.4,6.4,"2",99
5.7,6.8,"2",97
6.9,6.8,"1",95
5.2,5.4,"1",88
5.8,5.8,"1",96
6.9,7,"2",97
5.8,5.9,"1",95
5.5,5.1,"1",82
7,6.7,"2",75
5.9,4.8,"2",88
6,6.3,"2",91
5.7,6.5,"2",91
6.3,6,"2",92
5.1,5.7,"2",99
6.6,6.3,"1",90
6,6.2,"2",90
6.9,6.9,"2",100
5,5.4,"1",70
5.6,5.9,"1",89
6.1,6.2,"1",91
5.5,6.3,"1",99
6.6,6.7,"1",95
4.7,5.1,"1",87
5.5,6.2,"1",98
6.5,6.6,"2",87
5.3,5.4,"1",95
5.8,6.4,"2",91
6.5,6.5,"2",96
6.1,6.1,"2",95
5.7,5.4,"1",76
4,5.5,"2",89
6.5,6.5,"1",96
6.9,6.9,"2",93
5.7,6,"2",89
5.7,5.9,"1",84
5.6,5.8,"1",88
6.5,6.1,"1",97
4.9,5.4,"1",85
6.6,6.5,"2",98
6.2,6,"1",93
5.9,5.5,"1",90
6.1,6.8,"2",100
6.4,6.4,"1",93
6.7,6.5,"2",96
6.2,5.9,"1",100
5.4,5.5,"2",92
6.7,6.7,"1",99
6.8,6.9,"1",98
6.6,6.5,"1",100
5.3,5.3,"1",88
5.6,6,"1",86
5,5.5,"1",99
5.9,5.6,"1",92
5.5,5.8,"2",96
5.6,5.4,"2",90
6.1,6.3,"1",91
6.8,6.8,"2",99
6.5,6.6,"2",93
4.6,5.5,"2",75
6.5,6.2,"2",97
6.8,6.9,"1",96
6.1,6,"1",76
4.7,5.5,"1",93
6.1,6.3,"1",97
4.3,5.6,"2",88
5.6,6.7,"2",100
5.6,4.9,"1",94
4.4,4.9,"1",83
5.5,5.5,"2",95
5.5,5.3,"1",94
6.7,6.8,"2",90
5.6,6.2,"1",90
7,6.8,"1",94
5.3,5.7,"1",100
5.9,5.9,"1",98
5,5.1,"1",77
6.3,6.1,"1",95
6,5.8,"1",89
6.7,6.7,"1",89
6.7,6.7,"1",98
4.9,5.1,"1",89
5.2,5.6,"1",85
5.2,5.5,"1",92
6.1,5.8,"2",94
6,6.4,"1",92
4.8,5.3,"2",97
6.3,6.2,"1",94
5.1,5.5,"1",91
5.6,5.9,"2",80
5.8,6.3,"1",93
5.9,6.3,"2",98
5.6,5,"1",91
6.4,6.4,"2",96
5.4,5.4,"2",96
6.3,6.2,"2",99
6.1,5.8,"1",97
6.2,6.6,"2",99
6.5,6.8,"1",95
5.6,5.8,"1",86
5.7,5.6,"1",94
5,5.5,"1",99
6,5.7,"2",92
6.7,6.8,"2",98
6.8,6.8,"2",94
6,6,"1",85
5.4,5.4,"1",88
6.4,6.7,"1",100
6.2,6.2,"1",91
6.3,6.4,"2",96
4.9,5.2,"1",93
