"COD_REG_RBD","RURAL_RBD","GEN_ALU","EDAD_ALU","PROM_GRAL","ASISTENCIA","CIENCIAS"
"6","0","2",17,6.3,78,"0"
"8","0","2",17,6.4,88,"0"
"13","0","2",17,6.6,90,"0"
"13","0","1",17,5.9,97,"0"
"13","0","2",17,7,86,"0"
"2","0","2",17,6.2,89,"0"
"13","0","1",17,5.3,94,"0"
"5","0","2",17,6.5,87,"0"
"4","0","2",17,5.7,85,"0"
"9","0","2",17,6.6,95,"0"
"9","0","2",17,5.8,99,"0"
"7","0","2",17,5.8,97,"0"
"8","0","1",17,5.9,96,"0"
"5","0","1",18,5.8,94,"0"
"9","0","2",18,6.3,96,"0"
"6","0","2",17,5.8,77,"0"
"13","0","1",17,6.2,85,"0"
"16","0","1",17,5.9,85,"0"
"5","0","1",18,6.1,94,"1"
"10","0","2",17,6.8,98,"0"
"6","0","2",17,6.5,89,"0"
"13","0","2",17,6.3,88,"0"
"4","0","2",17,6.6,93,"0"
"5","0","1",18,5,37,"0"
"16","0","1",17,6.9,97,"0"
"7","0","2",17,6.4,86,"0"
"6","0","2",17,6.9,93,"0"
"10","0","1",17,5.9,97,"0"
"8","0","2",17,6.9,96,"0"
"10","1","2",18,6.3,80,"0"
"1","0","1",17,6.7,98,"0"
"2","0","2",17,6.8,85,"0"
"13","0","2",19,6.1,98,"0"
"8","0","1",19,5.7,74,"0"
"2","0","1",18,6.2,88,"0"
"16","0","2",17,6.9,89,"0"
"8","0","2",17,5.9,98,"0"
"13","0","2",17,6.6,86,"0"
"13","0","2",16,6.2,94,"0"
"13","0","2",17,6.6,96,"0"
"13","0","2",18,5.5,49,"0"
"6","0","1",17,6.3,90,"0"
"13","0","2",17,5.4,83,"0"
"5","0","2",17,6,96,"0"
"13","0","2",18,5.1,100,"0"
"4","0","1",17,6.5,97,"0"
"13","0","2",17,6.3,66,"0"
"2","0","1",17,6,92,"0"
"12","0","2",17,5.4,93,"0"
"5","0","2",17,6.6,68,"0"
"2","0","1",19,5.8,85,"0"
"16","0","1",19,6.2,83,"0"
"8","0","2",17,6.4,98,"0"
"7","0","2",53,6.6,100,"0"
"14","0","1",17,6.6,97,"0"
"13","0","1",17,5.7,85,"0"
"13","0","1",17,6.4,93,"0"
"8","0","2",17,6.4,90,"0"
"13","0","1",18,6.5,96,"0"
"6","0","1",17,6.7,92,"0"
"13","0","1",18,5.3,99,"0"
"16","0","2",17,6.6,98,"0"
"13","0","1",17,5.1,95,"0"
"13","0","1",18,6.7,96,"0"
"4","0","1",21,5.6,94,"0"
"3","0","2",17,5.1,88,"1"
"5","0","2",17,6.5,94,"0"
"5","0","2",17,7,97,"0"
"13","0","1",17,6.3,92,"0"
"13","0","1",17,5.5,97,"0"
"3","0","2",17,6.9,98,"0"
"8","0","1",17,6.5,97,"0"
"9","0","1",18,5.4,94,"0"
"10","0","1",17,5.4,82,"0"
"15","0","1",17,6.8,95,"0"
"16","0","2",17,7,93,"0"
"8","0","1",17,6.9,96,"0"
"13","0","2",17,6.3,95,"0"
"5","0","2",17,6.5,90,"0"
"8","0","1",17,6.5,98,"0"
"11","1","2",17,6,90,"0"
"13","0","1",17,6.7,90,"0"
"7","1","1",17,6.6,96,"0"
"7","1","1",17,6.6,96,"0"
"7","1","1",17,6.6,96,"0"
"7","1","1",17,6.6,96,"0"
"13","0","2",17,6.7,98,"0"
"4","0","2",17,6.4,94,"0"
"7","0","1",18,5.1,95,"0"
"4","0","2",18,6.4,100,"0"
"13","0","2",18,6.3,83,"0"
"5","0","1",18,5.9,85,"0"
"10","0","2",17,5.9,91,"0"
"10","0","2",17,6.7,85,"0"
"5","0","1",17,5.6,100,"0"
"10","0","1",16,4.7,97,"0"
"13","0","1",17,6,100,"0"
"13","0","2",17,6,98,"0"
"13","0","1",18,6.4,91,"0"
"13","0","1",17,6.6,96,"0"
"13","0","1",17,5.8,99,"0"
"5","0","2",17,5.9,97,"0"
"12","0","1",17,6.3,100,"0"
"13","0","2",18,6.9,100,"0"
"13","0","1",17,6.6,80,"0"
"2","0","2",17,6.5,97,"0"
"8","0","2",17,6.9,100,"0"
"14","0","1",17,5.7,67,"0"
"14","1","1",17,6.6,96,"0"
"3","0","1",18,5.9,92,"0"
"8","0","2",17,5.5,89,"0"
"5","0","2",17,6,92,"0"
"13","0","2",17,6.2,96,"0"
"7","0","2",17,6.4,98,"0"
"9","0","1",17,6.4,100,"0"
"13","0","2",17,5.7,100,"0"
"13","0","1",17,6.3,92,"0"
"8","0","2",17,6.6,99,"0"
"9","0","1",17,6.3,64,"0"
"4","0","1",17,5.9,92,"0"
"5","0","1",17,6.3,99,"1"
"13","0","1",18,5.9,94,"0"
"3","0","2",18,5.3,87,"0"
"8","0","2",17,6.9,100,"0"
"13","0","1",17,6,93,"0"
"9","1","1",18,5.9,99,"0"
"8","0","1",17,5.6,89,"0"
"13","0","1",18,6.2,97,"0"
"10","0","2",17,6.8,87,"0"
"6","1","1",17,5.3,99,"0"
"10","0","1",17,6.1,94,"0"
"13","0","2",17,6.9,95,"0"
"16","0","2",17,6.6,97,"0"
"9","0","1",17,6,99,"0"
"13","0","2",17,6.7,94,"0"
"7","0","1",19,6.7,92,"0"
"8","0","1",17,6.1,94,"0"
"13","0","1",17,6.6,91,"1"
"5","0","1",17,5.6,99,"0"
"2","0","2",17,6.8,87,"0"
"14","0","2",17,6.5,96,"0"
"13","0","1",17,7,99,"0"
"7","0","1",17,5.6,92,"0"
"5","0","1",17,6.9,98,"0"
"10","1","2",17,6.5,89,"0"
"13","0","2",17,7,94,"0"
"13","0","2",17,6,73,"0"
"8","0","2",17,6.8,94,"0"
"13","0","2",17,6.1,86,"0"
"13","0","1",17,6.6,100,"0"
"5","0","2",17,6.2,85,"0"
"5","0","2",17,6.4,66,"0"
"13","1","2",17,6.6,98,"0"
"13","0","1",17,6.9,98,"0"
"13","0","2",18,6.5,79,"0"
"13","0","1",18,6.8,98,"0"
"13","0","1",17,5.5,84,"0"
"12","0","2",18,6.5,74,"0"
"7","0","1",17,6,88,"0"
"13","0","2",17,6.4,92,"0"
"13","0","1",17,6.8,97,"0"
"13","0","1",18,6,88,"0"
"8","0","2",17,6.7,98,"0"
"9","0","2",18,6.4,95,"0"
"11","0","1",18,5.6,86,"0"
"8","0","2",36,6.9,100,"0"
"15","0","1",17,6.9,89,"0"
"6","0","1",17,6.9,54,"1"
"13","0","1",17,5.8,94,"0"
"5","0","2",35,6.3,96,"0"
"6","0","1",17,5.9,87,"0"
"16","0","2",17,5.7,86,"0"
"13","0","1",17,5.1,78,"0"
"8","0","1",17,6.6,98,"0"
"13","0","1",17,6.2,97,"0"
"16","0","1",18,6.8,94,"0"
"8","0","1",17,6.5,98,"0"
"7","0","2",18,5.8,98,"0"
"6","0","1",17,6.7,93,"0"
"7","0","2",17,6.5,97,"0"
"13","0","2",17,6.7,92,"0"
"13","0","2",17,6.9,96,"0"
"6","0","2",17,5.9,87,"0"
"10","0","1",17,6.3,98,"0"
"5","0","1",18,6.1,85,"0"
"8","0","2",17,6.1,99,"0"
"16","0","2",17,6.7,99,"0"
"14","0","1",17,5.7,88,"0"
"5","0","2",17,6.9,91,"0"
"8","0","1",17,6.4,86,"0"
"13","0","2",17,6.6,98,"0"
"2","0","1",17,7,98,"0"
"7","0","2",17,6.4,94,"0"
"5","0","2",17,6.5,99,"0"
"7","0","1",17,6.3,93,"0"
"16","0","1",17,5.9,93,"0"
"14","0","1",17,6,100,"0"
"13","0","1",17,6.2,95,"0"
"5","0","1",19,5.9,61,"0"
"8","0","1",19,6.4,95,"0"
"7","0","2",18,5.3,77,"0"
"5","0","1",24,5.3,30,"0"
"13","0","1",18,6.7,98,"0"
"16","0","2",18,6.5,97,"0"
"4","0","1",17,6.4,88,"0"
"7","0","1",17,5,87,"0"
"7","0","1",17,5.8,87,"0"
"4","0","1",17,6.9,100,"0"
"5","0","1",17,6.3,94,"0"
"13","0","1",17,6.5,81,"0"
"5","0","2",17,6.6,90,"0"
"8","0","1",17,6.6,95,"0"
"12","0","1",17,6.5,95,"0"
"13","0","2",17,6.7,85,"0"
"13","0","1",19,5.9,96,"0"
"8","0","1",19,5.2,79,"0"
"8","0","1",17,6.5,86,"0"
"13","0","1",17,5.4,91,"0"
"7","0","1",17,6.3,97,"0"
"8","0","1",17,5.7,98,"0"
"7","0","2",17,5.8,88,"0"
"6","0","1",17,5.1,71,"0"
"13","0","1",18,6.6,95,"0"
"13","0","1",17,5.9,93,"0"
"6","0","2",17,6.3,98,"0"
"13","0","2",17,5.7,92,"0"
"13","0","2",17,6.2,75,"0"
"2","0","1",17,6.7,100,"0"
"2","0","2",18,6.3,98,"0"
"8","0","2",17,6.3,78,"0"
"4","0","2",18,6.7,94,"0"
"13","0","2",17,6.4,86,"0"
"4","0","2",17,6.5,95,"1"
"2","0","1",17,5.4,96,"0"
"7","0","2",17,6.2,88,"0"
"8","0","2",17,6.7,94,"0"
"16","0","1",17,7,88,"0"
"1","0","2",17,6.8,90,"0"
"13","0","2",17,4.5,85,"0"
"5","0","2",17,6.6,100,"0"
"10","0","1",32,6.8,89,"0"
"4","0","1",17,6.4,91,"0"
"13","0","1",39,6,91,"0"
"2","0","1",17,6.8,93,"0"
"5","0","1",17,6.1,87,"0"
"2","0","2",17,6.8,92,"0"
"13","0","1",17,6.6,95,"0"
"7","0","2",32,6.7,96,"0"
"13","0","2",17,6.9,90,"0"
"14","0","1",17,5.4,99,"0"
"13","0","2",17,6.7,85,"0"
"13","0","1",17,5.9,89,"0"
"13","0","1",17,6.7,88,"1"
"7","0","1",17,6.3,98,"0"
"5","0","2",17,6.6,87,"0"
"13","0","2",17,6.9,99,"0"
"7","0","2",17,6.7,97,"0"
"9","0","2",19,5.7,87,"0"
"13","0","2",17,6.4,97,"0"
"13","0","2",17,6.3,83,"0"
"13","0","2",18,5.6,93,"0"
"5","0","1",17,5,89,"0"
"13","0","1",17,5.9,64,"0"
"13","0","2",33,6.8,100,"0"
"5","0","1",17,6.7,100,"0"
"5","0","1",17,6.5,99,"1"
"13","0","2",17,6.7,93,"0"
"13","0","1",17,6.4,66,"0"
"5","0","2",17,6,88,"0"
"8","0","1",17,6.2,100,"0"
"13","0","2",17,6.4,96,"0"
"8","0","2",17,6.5,98,"0"
"7","0","2",17,6.8,94,"0"
"6","0","1",17,6.2,88,"0"
"13","0","1",17,6.8,100,"0"
"9","0","1",17,5.3,87,"0"
"5","0","2",17,6.5,100,"0"
"5","0","1",17,6.8,94,"0"
"8","0","2",17,6.2,90,"0"
"1","0","2",17,6.8,96,"0"
"16","0","2",18,6.7,79,"0"
"13","0","2",18,6.7,91,"0"
"6","0","2",17,5.9,97,"0"
"4","0","1",17,5.6,92,"0"
"13","0","1",18,5.4,100,"0"
